TIME,SQHEAT_1,SQCOOL_1,TAIR_F1undfA1,TOP_F1undfA1,TAIR_F1undfA2,TOP_F1undfA2,TAIR_F1nightA1,TOP_F1nightA1,TAIR_F1dayA,TOP_F1dayA,TAIR_F1nightA2,TOP_F1nightA2,ABSHUM_F1undfA1,ABSHUM_F1nightA1,ABSHUM_F1undfA2,ABSHUM_F1dayA,ABSHUM_F1nightA2,CO2_F1dayA,CO2_F1nightA1,CO2_F1nightA2,RELHUM_F1nightA1,RELHUM_F1dayA,RELHUM_F1nightA2,OCC_F1dayA,OCC_F1nightA1,OCC_F1nightA2,QHEAT_TOT,QCOOL_TOT,QVMC_TOT,QAPL_TOT,QLGT_TOT,SHD_F1dayA,SHD_F1nightA1,SHD_F1nightA2,WIN_OF_F1dayA,WIN_OF_F1nightA1,WIN_OF_F1nightA2,QEL_TOT,PV_selfC,PV_p,label,label.1,label.2,label.3,label.4,label.5,label.6,label.7,label.8,label.9,label.10,label.11,label.12,label.13,label.14,label.15,label.16,label.17,label.18,label.19,label.20,label.21,label.22,label.23,label.24,label.25,label.26,label.27,label.28,label.29,label.30,label.31,label.32,label.33,label.34,label.35,label.36,label.37,label.38,label.39,label.40,label.41,label.42,label.43,label.44,label.45,label.46,label.47,label.48,label.49,label.50,label.51,label.52,label.53,label.54,label.55,label.56,label.57,label.58,label.59
0,9360.0,0.0,21.9,21.9,21.0,20.8,21.9,21.9,22.9,23.0,21.4,21.2,0.00353,0.00401,0.00289,0.00368,0.00402,731.0,636.0,634.0,24.6,21.3,25.5,0.0,1.0,2.0,3120.0,0.0,115.0,567.0,240.0,0.15,0.15,0.15,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9440.0,0.0,21.8,21.9,21.0,20.8,21.9,21.8,22.6,22.8,21.5,21.3,0.00316,0.00347,0.00273,0.00322,0.00359,667.0,816.0,850.0,21.4,19.0,22.7,0.0,1.0,2.0,3150.0,0.0,115.0,154.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,11400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6740.0,0.0,21.8,21.8,21.0,20.8,21.8,21.7,22.6,22.7,21.3,21.2,0.00338,0.00358,0.00328,0.00329,0.00359,660.0,769.0,831.0,22.2,19.5,22.9,0.0,1.0,2.0,2250.0,0.0,115.0,154.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4460.0,0.0,21.8,21.8,21.0,20.8,21.8,21.7,22.6,22.7,21.4,21.2,0.00405,0.00417,0.00411,0.00389,0.00418,664.0,864.0,806.0,25.9,23.0,26.6,0.0,1.0,2.0,1490.0,0.0,115.0,154.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,14200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4640.0,0.0,21.7,21.8,21.0,20.8,21.8,21.7,22.6,22.7,21.4,21.3,0.00443,0.0047,0.00427,0.00438,0.00468,684.0,894.0,834.0,29.1,25.8,29.7,0.0,1.0,2.0,1550.0,0.0,115.0,154.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,15400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4780.0,0.0,21.7,21.8,21.0,20.8,21.7,21.7,22.5,22.6,21.4,21.2,0.00453,0.00488,0.00427,0.00452,0.00484,691.0,891.0,850.0,30.3,26.8,30.7,0.0,1.0,2.0,1590.0,0.0,115.0,154.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4890.0,0.0,21.7,21.7,21.0,20.8,21.7,21.6,22.5,22.5,21.4,21.2,0.00454,0.00494,0.00424,0.00453,0.00487,693.0,891.0,860.0,30.8,27.0,30.9,0.0,1.0,2.0,1630.0,0.0,115.0,154.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,17100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5040.0,0.0,21.7,21.7,21.0,20.8,21.6,21.6,22.4,22.5,21.4,21.2,0.00452,0.00499,0.00423,0.00452,0.00486,692.0,907.0,864.0,31.2,27.0,30.9,0.0,1.0,2.0,1680.0,0.0,115.0,154.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,16600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5150.0,0.0,21.6,21.7,21.0,20.8,21.6,21.5,22.3,22.4,21.4,21.2,0.00449,0.0051,0.00419,0.0045,0.00485,691.0,941.0,868.0,32.0,26.9,30.8,0.0,1.0,2.0,1720.0,0.0,115.0,154.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,14300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5240.0,0.0,21.6,21.7,21.0,20.8,21.5,21.5,22.3,22.4,21.3,21.2,0.00448,0.005,0.00413,0.00448,0.00484,684.0,1030.0,866.0,31.4,26.9,30.8,0.0,1.0,2.0,1750.0,0.0,115.0,154.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,14600.0,482.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
