TIME,REL_BAL_ENERGY,1_B4_QBAL,1_B4_DQAIRdT,1_B4_QHEAT,1_B4_QCOOL,1_B4_QINF,1_B4_QVENT,1B4_QCOUP,1_B4_QTRANS,1_B4_QGINT,1_B4_QWGAIN,1_B4_QSOL,1_B4_QSOLAIR,2_B4_QBAL,2_B4_DQAIRdT,2_B4_QHEAT,2_B4_QCOOL,2_B4_QINF,2_B4_QVENT,2B4_QCOUP,2_B4_QTRANS,2_B4_QGINT,2_B4_QWGAIN,2_B4_QSOL,2_B4_QSOLAIR,3_B4_QBAL,3_B4_DQAIRdT,3_B4_QHEAT,3_B4_QCOOL,3_B4_QINF,3_B4_QVENT,3B4_QCOUP,3_B4_QTRANS,3_B4_QGINT,3_B4_QWGAIN,3_B4_QSOL,3_B4_QSOLAIR
0.00,0.00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
1.00,0.00,-5.955E-12,-4.500E+02,6.107E+03,0.000E+00,-7.620E+02,-3.805E+03,0.000E+00,-1.992E+03,2.160E+00,0.000E+00,-8.710E-13,0.000E+00,-9.753E-12,-4.500E+02,4.086E+03,0.000E+00,-7.620E+02,-3.805E+03,0.000E+00,2.210E+01,8.208E+00,0.000E+00,-1.372E-12,0.000E+00,-2.810E-12,-2.060E+02,3.169E+03,0.000E+00,-3.505E+02,-1.750E+03,0.000E+00,-1.283E+03,8.208E+00,0.000E+00,0.000E+00,0.000E+00
2.00,0.00,-4.046E-12,0.000E+00,2.179E+03,0.000E+00,-8.026E+02,-1.836E+03,0.000E+00,4.573E+02,2.160E+00,0.000E+00,-3.510E-12,0.000E+00,-2.954E-11,0.000E+00,1.123E+02,0.000E+00,-8.026E+02,-1.836E+03,0.000E+00,2.518E+03,8.208E+00,0.000E+00,2.827E-12,0.000E+00,-6.903E-12,0.000E+00,4.627E+01,0.000E+00,-3.692E+02,-8.444E+02,0.000E+00,1.159E+03,8.208E+00,0.000E+00,0.000E+00,0.000E+00
3.00,0.00,-2.748E-11,0.000E+00,4.746E+03,0.000E+00,-6.690E+02,-1.732E+03,0.000E+00,-2.347E+03,2.160E+00,0.000E+00,1.156E-13,0.000E+00,1.371E-11,0.000E+00,1.259E+03,0.000E+00,-6.690E+02,-1.732E+03,0.000E+00,1.134E+03,8.208E+00,0.000E+00,-1.670E-12,0.000E+00,1.680E-12,0.000E+00,1.135E+03,0.000E+00,-3.077E+02,-7.968E+02,0.000E+00,-3.848E+01,8.208E+00,0.000E+00,0.000E+00,0.000E+00
4.00,0.00,-3.561E-11,0.000E+00,4.851E+03,0.000E+00,-6.885E+02,-1.791E+03,0.000E+00,-2.373E+03,2.160E+00,0.000E+00,5.622E-12,0.000E+00,5.826E-12,0.000E+00,1.363E+03,0.000E+00,-6.885E+02,-1.791E+03,0.000E+00,1.108E+03,8.208E+00,0.000E+00,4.089E-12,0.000E+00,1.168E-11,0.000E+00,1.210E+03,0.000E+00,-3.167E+02,-8.240E+02,0.000E+00,-7.743E+01,8.208E+00,0.000E+00,0.000E+00,0.000E+00
5.00,0.00,3.542E-11,0.000E+00,4.918E+03,0.000E+00,-7.130E+02,-1.821E+03,0.000E+00,-2.386E+03,2.160E+00,0.000E+00,-6.561E-12,0.000E+00,3.611E-11,0.000E+00,1.430E+03,0.000E+00,-7.130E+02,-1.821E+03,0.000E+00,1.095E+03,8.208E+00,0.000E+00,6.177E-12,0.000E+00,1.959E-11,0.000E+00,1.255E+03,0.000E+00,-3.280E+02,-8.376E+02,0.000E+00,-9.809E+01,8.208E+00,0.000E+00,0.000E+00,0.000E+00
6.00,0.00,1.066E-11,4.500E+02,1.039E+04,0.000E+00,-8.675E+02,-2.147E+03,0.000E+00,-6.924E+03,2.160E+00,0.000E+00,1.324E-11,0.000E+00,-1.289E-11,4.500E+02,5.699E+03,0.000E+00,-8.675E+02,-2.147E+03,0.000E+00,-2.244E+03,8.208E+00,0.000E+00,-1.099E-11,0.000E+00,1.265E-11,2.060E+02,4.188E+03,0.000E+00,-3.991E+02,-9.874E+02,0.000E+00,-2.604E+03,8.208E+00,0.000E+00,0.000E+00,0.000E+00
7.00,0.00,-1.057E-11,0.000E+00,1.219E+04,0.000E+00,-1.041E+03,-2.472E+03,0.000E+00,-8.703E+03,2.808E+01,0.000E+00,-1.558E-12,0.000E+00,-4.487E-11,0.000E+00,7.576E+03,0.000E+00,-1.041E+03,-2.472E+03,0.000E+00,-4.066E+03,2.160E+00,0.000E+00,5.921E-12,0.000E+00,-1.804E-11,0.000E+00,5.643E+03,0.000E+00,-4.787E+02,-1.137E+03,0.000E+00,-4.029E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
8.00,0.00,9.308E-12,0.000E+00,1.234E+04,0.000E+00,-1.129E+03,-2.502E+03,0.000E+00,-8.709E+03,2.160E+00,0.000E+00,7.343E-12,0.000E+00,4.549E-13,0.000E+00,7.708E+03,0.000E+00,-1.129E+03,-2.502E+03,0.000E+00,-4.079E+03,2.160E+00,0.000E+00,8.949E-12,0.000E+00,-3.492E-12,0.000E+00,5.719E+03,0.000E+00,-5.194E+02,-1.151E+03,0.000E+00,-4.051E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
9.00,0.00,2.746E-12,0.000E+00,1.333E+04,0.000E+00,-1.172E+03,-2.517E+03,0.000E+00,-9.645E+03,2.160E+00,0.000E+00,7.810E-13,0.000E+00,2.834E-11,0.000E+00,8.221E+03,0.000E+00,-1.172E+03,-2.517E+03,0.000E+00,-4.534E+03,2.160E+00,0.000E+00,1.274E-11,0.000E+00,-9.859E-12,0.000E+00,5.994E+03,0.000E+00,-5.391E+02,-1.158E+03,0.000E+00,-4.299E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
10.00,0.00,-3.325E-12,-4.656E+02,1.634E+04,0.000E+00,0.000E+00,-9.033E+03,0.000E+00,-7.819E+03,2.160E+00,0.000E+00,4.715E+01,0.000E+00,-3.462E-11,0.000E+00,1.483E+04,0.000E+00,0.000E+00,-1.028E+04,0.000E+00,-4.589E+03,2.160E+00,0.000E+00,4.149E+01,0.000E+00,-2.583E-12,0.000E+00,9.003E+03,0.000E+00,0.000E+00,-4.731E+03,0.000E+00,-4.274E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
11.00,0.00,1.536E-11,3.483E+02,1.634E+04,0.000E+00,0.000E+00,-8.717E+03,0.000E+00,-7.387E+03,2.160E+00,0.000E+00,1.137E+02,0.000E+00,1.396E-11,0.000E+00,1.481E+04,0.000E+00,0.000E+00,-1.028E+04,0.000E+00,-4.628E+03,2.160E+00,0.000E+00,1.001E+02,0.000E+00,4.693E-12,0.000E+00,8.969E+03,0.000E+00,0.000E+00,-4.731E+03,0.000E+00,-4.240E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
12.00,0.00,-3.516E-11,1.173E+02,1.339E+04,0.000E+00,-1.156E+03,-2.425E+03,0.000E+00,-9.871E+03,2.160E+00,0.000E+00,1.807E+02,0.000E+00,-4.604E-12,0.000E+00,8.458E+03,0.000E+00,-1.251E+03,-2.502E+03,0.000E+00,-4.866E+03,2.160E+00,0.000E+00,1.591E+02,0.000E+00,6.512E-12,0.000E+00,6.005E+03,0.000E+00,-5.753E+02,-1.151E+03,0.000E+00,-4.281E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
13.00,0.00,-2.228E-11,0.000E+00,1.386E+04,0.000E+00,-1.243E+03,-2.487E+03,0.000E+00,-1.035E+04,2.160E+00,0.000E+00,2.192E+02,0.000E+00,-3.376E-11,0.000E+00,8.417E+03,0.000E+00,-1.254E+03,-2.487E+03,0.000E+00,-4.871E+03,2.160E+00,0.000E+00,1.929E+02,0.000E+00,-7.130E-12,0.000E+00,5.973E+03,0.000E+00,-5.771E+02,-1.144E+03,0.000E+00,-4.254E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
14.00,0.00,-6.821E-12,0.000E+00,1.392E+04,0.000E+00,-1.302E+03,-2.487E+03,0.000E+00,-1.036E+04,2.160E+00,0.000E+00,2.192E+02,0.000E+00,-1.691E-11,0.000E+00,8.467E+03,0.000E+00,-1.302E+03,-2.487E+03,0.000E+00,-4.873E+03,2.160E+00,0.000E+00,1.929E+02,0.000E+00,-1.259E-11,0.000E+00,6.000E+03,0.000E+00,-5.987E+02,-1.144E+03,0.000E+00,-4.260E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
15.00,0.00,1.035E-11,0.000E+00,1.401E+04,0.000E+00,-1.302E+03,-2.487E+03,0.000E+00,-1.038E+04,2.160E+00,0.000E+00,1.615E+02,0.000E+00,-1.066E-11,0.000E+00,8.577E+03,0.000E+00,-1.302E+03,-2.487E+03,0.000E+00,-4.933E+03,2.160E+00,0.000E+00,1.422E+02,0.000E+00,1.965E-12,0.000E+00,6.039E+03,0.000E+00,-5.987E+02,-1.144E+03,0.000E+00,-4.298E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
16.00,0.00,-8.527E-13,0.000E+00,1.417E+04,0.000E+00,-1.383E+03,-2.517E+03,0.000E+00,-1.035E+04,2.160E+00,0.000E+00,7.561E+01,0.000E+00,4.009E-11,0.000E+00,8.730E+03,0.000E+00,-1.383E+03,-2.517E+03,0.000E+00,-4.899E+03,2.160E+00,0.000E+00,6.654E+01,0.000E+00,3.784E-12,0.000E+00,6.139E+03,0.000E+00,-6.360E+02,-1.158E+03,0.000E+00,-4.348E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
17.00,0.00,-3.141E-11,0.000E+00,1.429E+04,0.000E+00,-1.428E+03,-2.561E+03,0.000E+00,-1.033E+04,2.808E+01,0.000E+00,9.374E+00,0.000E+00,4.468E-11,0.000E+00,8.860E+03,0.000E+00,-1.428E+03,-2.561E+03,0.000E+00,-4.882E+03,2.160E+00,0.000E+00,8.249E+00,0.000E+00,-2.583E-12,0.000E+00,6.231E+03,0.000E+00,-6.567E+02,-1.178E+03,0.000E+00,-4.398E+03,2.160E+00,0.000E+00,0.000E+00,0.000E+00
