TIME,REL_BAL_ENERGY,1_B4_QBAL,1_B4_DQAIRdT,1_B4_QHEAT,1_B4_QCOOL,1_B4_QINF,1_B4_QVENT,1B4_QCOUP,1_B4_QTRANS,1_B4_QGINT,1_B4_QWGAIN,1_B4_QSOL,1_B4_QSOLAIR,2_B4_QBAL,2_B4_DQAIRdT,2_B4_QHEAT,2_B4_QCOOL,2_B4_QINF,2_B4_QVENT,2B4_QCOUP,2_B4_QTRANS,2_B4_QGINT,2_B4_QWGAIN,2_B4_QSOL,2_B4_QSOLAIR,3_B4_QBAL,3_B4_DQAIRdT,3_B4_QHEAT,3_B4_QCOOL,3_B4_QINF,3_B4_QVENT,3B4_QCOUP,3_B4_QTRANS,3_B4_QGINT,3_B4_QWGAIN,3_B4_QSOL,3_B4_QSOLAIR,4_B4_QBAL,4_B4_DQAIRdT,4_B4_QHEAT,4_B4_QCOOL,4_B4_QINF,4_B4_QVENT,4B4_QCOUP,4_B4_QTRANS,4_B4_QGINT,4_B4_QWGAIN,4_B4_QSOL,4_B4_QSOLAIR,5_B4_QBAL,5_B4_DQAIRdT,5_B4_QHEAT,5_B4_QCOOL,5_B4_QINF,5_B4_QVENT,5B4_QCOUP,5_B4_QTRANS,5_B4_QGINT,5_B4_QWGAIN,5_B4_QSOL,5_B4_QSOLAIR
0,0.0,1.731e-11,-8.356,0.0,0.0,0.0,0.0,-41.42,33.07,0.0,0.0,0.0,0.0,-4.465e-12,0.0,9439.0,0.0,-9497.0,0.0,283.1,-225.0,0.0,0.0,2.532e-13,0.0,-1.251e-11,-147.4,0.0,0.0,-84.98,0.0,-18.85,-241.1,197.5,0.0,2.981e-12,0.0,1.18e-11,-20.08,0.0,0.0,-86.39,0.0,-287.2,282.0,71.55,0.0,-1.333e-11,0.0,1.243e-11,-199.7,0.0,0.0,-83.14,0.0,62.85,-554.3,374.9,0.0,6.75e-12,0.0
1,0.0,-4.974e-13,-2.19,0.0,0.0,0.0,0.0,-42.78,40.59,0.0,0.0,0.0,0.0,1.018e-11,0.0,6744.0,0.0,-6765.0,0.0,243.7,-222.1,0.0,0.0,-7.914e-14,0.0,-1.123e-13,9.649,0.0,0.0,-57.88,0.0,-1.279,-128.7,197.5,0.0,-1.789e-12,0.0,-1.359e-11,-12.93,0.0,0.0,-59.37,0.0,-298.4,273.2,71.55,0.0,-3.455e-13,0.0,1.704e-11,27.64,0.0,0.0,-56.99,0.0,97.38,-387.7,374.9,0.0,-1.031e-12,0.0
2,0.0,9.365e-12,2.555,0.0,0.0,0.0,0.0,-27.6,30.15,0.0,0.0,0.0,0.0,6.783e-12,0.0,4457.0,0.0,-4478.0,0.0,238.9,-218.4,0.0,0.0,7.861e-13,0.0,-4.17e-12,9.222,0.0,0.0,-36.42,0.0,-2.833,-149.1,197.5,0.0,-1.867e-12,0.0,-5.392e-13,5.364,0.0,0.0,-37.63,0.0,-292.2,263.7,71.55,0.0,-3.552e-12,0.0,3.463e-12,25.24,0.0,0.0,-36.1,0.0,82.31,-395.9,374.9,0.0,5.851e-12,0.0
3,0.0,4.469e-12,-4.19,0.0,0.0,0.0,0.0,-29.01,24.82,0.0,0.0,0.0,0.0,-4.768e-12,0.0,4637.0,0.0,-4657.0,0.0,241.8,-221.4,0.0,0.0,8.6e-13,0.0,2.318e-12,-20.09,0.0,0.0,-38.03,0.0,-2.715,-176.9,197.5,0.0,-1.007e-12,0.0,2.068e-11,-40.79,0.0,0.0,-39.24,0.0,-283.6,210.5,71.55,0.0,4.552e-14,0.0,1.989e-12,-4.931,0.0,0.0,-37.67,0.0,72.04,-414.2,374.9,0.0,-7.967e-13,0.0
4,0.0,3.18e-12,-1.234,0.0,0.0,0.0,0.0,-27.87,26.64,0.0,0.0,0.0,0.0,-2.56e-12,0.0,4778.0,0.0,-4783.0,0.0,230.0,-224.5,0.0,0.0,-1.161e-13,0.0,1.281e-11,-20.49,0.0,0.0,-39.46,0.0,-1.183,-177.4,197.5,0.0,-1.633e-12,0.0,-2.923e-12,-35.81,0.0,0.0,-40.69,0.0,-266.9,200.2,71.55,0.0,2.704e-12,0.0,-1.326e-13,-6.946,0.0,0.0,-38.77,0.0,64.68,-407.8,374.9,0.0,-7.522e-12,0.0
5,0.0,4.739e-12,-3.303,0.0,0.0,0.0,0.0,-30.41,27.11,0.0,0.0,0.0,0.0,-2.808e-12,0.0,4892.0,0.0,-4884.0,0.0,218.8,-227.5,0.0,0.0,5.17e-13,0.0,6.574e-13,-20.09,0.0,0.0,-40.67,0.0,0.7093,-177.7,197.5,0.0,-3.862e-12,0.0,-1.24e-11,-33.99,0.0,0.0,-41.83,0.0,-250.1,186.4,71.55,0.0,8.179e-12,0.0,2.611e-12,-6.064,0.0,0.0,-39.66,0.0,59.94,-401.3,374.9,0.0,-2.884e-13,0.0
6,0.0,-3.006e-12,-1.5,0.0,0.0,0.0,0.0,-29.66,28.16,0.0,0.0,0.0,0.0,1.208e-12,0.0,5035.0,0.0,-5011.0,0.0,206.4,-230.6,0.0,0.0,-1.847e-13,0.0,-5.946e-12,-19.92,0.0,0.0,-40.96,0.0,1.967,-178.5,197.5,0.0,4.115e-12,0.0,-8.171e-12,-33.49,0.0,0.0,-42.23,0.0,-235.0,172.2,71.55,0.0,-4.021e-12,0.0,4.815e-12,-6.837,0.0,0.0,-40.8,0.0,55.13,-396.1,374.9,0.0,9.761e-12,0.0
7,0.0,4.782e-12,-2.711,0.0,0.0,0.0,0.0,-31.01,28.3,0.0,0.0,0.0,0.0,1.019e-11,0.0,5151.0,0.0,-5113.0,0.0,195.8,-233.6,0.0,0.0,-3.693e-14,0.0,1.026e-11,-20.08,0.0,0.0,-41.73,0.0,2.367,-178.3,197.5,0.0,-2.102e-12,0.0,-1.922e-11,-31.9,0.0,0.0,-43.02,0.0,-219.7,159.2,71.55,0.0,-1.192e-11,0.0,-1.541e-11,-6.373,0.0,0.0,-41.71,0.0,51.42,-391.0,374.9,0.0,-6.427e-12,0.0
8,0.0,6.406e-12,-2.13,0.0,0.0,0.0,0.0,-31.69,29.56,0.0,0.0,0.0,0.0,-7.196e-13,0.0,5243.0,0.0,-5191.0,0.0,185.0,-236.4,0.0,0.0,1.899e-13,0.0,7.864e-12,-17.99,0.0,0.0,-42.52,0.0,5.576,-178.6,197.5,0.0,4.624e-12,0.0,4.008e-12,-31.53,0.0,0.0,-43.7,0.0,-206.8,147.4,71.55,0.0,-1.583e-11,0.0,-1.207e-12,-6.763,0.0,0.0,-42.39,0.0,46.9,-386.2,374.9,0.0,-4.277e-12,0.0
9,0.0,-5.187e-13,1.26,0.0,0.0,0.0,0.0,-23.16,24.42,0.0,0.0,0.0,0.0,-2.858e-12,0.0,5065.0,0.0,-5011.0,0.0,181.8,-246.5,0.0,0.0,10.72,0.0,-8.612e-12,-5.457,0.0,0.0,-40.66,0.0,8.797,-238.7,197.5,0.0,67.57,0.0,2.981e-11,-10.19,0.0,0.0,-41.83,0.0,-192.9,17.83,71.55,0.0,135.1,0.0,6.295e-12,101.3,0.0,0.0,-40.85,0.0,24.48,-652.4,702.5,0.0,67.57,0.0
