 TIME                    	QHEAT_1                  	QCOOL_1                  	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +7.2545829609234024E+03	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +4.5628785815822548E+03	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +7.9455972329897131E+03	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +8.0902254225874203E+03	  +0.0000000000000000E+00	
  +5.0000000000000000E+00	  +8.2067935005385280E+03	  +0.0000000000000000E+00	
  +6.0000000000000000E+00	  +1.4332028808420271E+04	  +0.0000000000000000E+00	
  +7.0000000000000000E+00	  +1.6206319160280029E+04	  +0.0000000000000000E+00	
  +8.0000000000000000E+00	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +9.0000000000000000E+00	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +1.0000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +1.1000000000000000E+01	  +1.4505382792492348E+04	  +0.0000000000000000E+00	
  +1.2000000000000000E+01	  +1.1160057648527452E+04	  +0.0000000000000000E+00	
  +1.3000000000000000E+01	  +1.0593935858738781E+04	  +0.0000000000000000E+00	
  +1.4000000000000000E+01	  +1.0241957053860484E+04	  +0.0000000000000000E+00	
  +1.5000000000000000E+01	  +8.4920532720770825E+03	  +0.0000000000000000E+00	
  +1.6000000000000000E+01	  +9.4870783914276053E+03	  +0.0000000000000000E+00	
  +1.7000000000000000E+01	  +1.1136901016032787E+04	  +0.0000000000000000E+00	
  +1.8000000000000000E+01	  +1.1659185583633418E+04	  +0.0000000000000000E+00	
  +1.9000000000000000E+01	  +1.2297449019580486E+04	  +0.0000000000000000E+00	
  +2.0000000000000000E+01	  +1.0332765400725393E+04	  +0.0000000000000000E+00	
  +2.1000000000000000E+01	  +1.0201860503810991E+04	  +0.0000000000000000E+00	
  +2.2000000000000000E+01	  +1.0807750407855656E+04	  +0.0000000000000000E+00	
  +2.3000000000000000E+01	  +1.1448392817388351E+04	  +0.0000000000000000E+00	
  +2.4000000000000000E+01	  +1.3689551263259720E+04	  +0.0000000000000000E+00	
  +2.5000000000000000E+01	  +1.4261739420322840E+04	  +0.0000000000000000E+00	
  +2.6000000000000000E+01	  +1.4760706754059453E+04	  +0.0000000000000000E+00	
  +2.7000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +2.8000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +2.9000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +3.0000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +3.1000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +3.2000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +3.3000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +3.4000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +3.5000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +3.6000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +3.7000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
  +3.8000000000000000E+01	  +1.6336180000000000E+04	  +0.0000000000000000E+00	
